fileN,file,id,displayName,formattedAddress,latitude,longitude,servesCoffee,takeout,goodForChildren,goodForGroups
73,165_location.json,ChIJmQbHBjsRE2sRfDeFe5GQMTs,Awesome Cafe,13 First Ave Unanderra NSW 2526 Australia,-34.4493878,150.8509867,True,True,false,True
73,165_location.json,ChIJtVj-sgoaE2sRb6Wy2Fc1hJc,Fernandos Pizza,Shops 26 Derribong Dr Cordeaux Heights NSW 2526 Australia,-34.4449426,150.83815049999998,True,True,True,True
73,165_location.json,ChIJ_fDXE8cbE2sRx4ltPbaeVpI,Little Fig Cafe Figtree,1 Suttor Pl Figtree NSW 2525 Australia,-34.4395735,150.8510562,True,True,True,false
73,165_location.json,ChIJlY9mSKEQE2sRM4yaUkdQXh4,Artisan Eatery,1 Hargreaves St Unanderra NSW 2526 Australia,-34.4509251,150.8428357,True,false,True,True
74,166_location.json,ChIJpV2PNt0QE2sRI7qh9aV-K58,7-Eleven,47 Nolan St Berkeley NSW 2506 Australia,-34.4768182,150.83944839999998,false,false,false,false
74,166_location.json,ChIJX_H1YpsRE2sRBt7Np2dZttg,Captain Pizza,7/65 Winnima Way Berkeley NSW 2506 Australia,-34.4806246,150.8463078,false,True,True,false
74,166_location.json,ChIJA1fzMrgQE2sRcgeD1C1c39w,Dew Drop Inn Tea House,180 Berkeley Rd Berkeley NSW 2506 Australia,-34.4658655,150.8481641,True,True,True,True
74,166_location.json,ChIJs1V-9tkRE2sR3nsNUeED2Jo,Burek House Berkeley,1/2/4 Kelly St Berkeley NSW 2506 Australia,-34.4763893,150.8395067,false,True,false,false
74,166_location.json,ChIJpdpmtTsRE2sRYwIhKjBEubk,Nan Tien Arts Cafe,231 Nolan St Unanderra NSW 2526 Australia,-34.464172,150.8470345,True,True,True,True
74,166_location.json,ChIJs1EvkacRE2sR0yn6eurg3rE,Berkeley Kebabs,Shop 3 2-4 Corner Nolan & Kelly St Berkeley NSW 2506 Australia,-34.4763252,150.8395622,False,True,True,false
74,166_location.json,ChIJURas0sIQE2sRLMbqGCCfsGA,The Munch House,1/6 Kelly St Berkeley NSW 2506 Australia,-34.4764781,150.8399356,False,True,True,false
74,166_location.json,ChIJ3UJ_PUsRE2sRECNg9eUoYDQ,Berkeley Fish & Chips,60 Winnima Way Berkeley NSW 2506 Australia,-34.4804297,150.8468206,false,True,True,false
74,166_location.json,ChIJ2bI3ptsQE2sRB2qe1akw0bY,Stamp Thai Restaurant,7 Devon St Berkeley NSW 2506 Australia,-34.4808636,150.84558869999998,false,True,True,True
77,169_location.json,ChIJ5bx92pMTE2sR0QEGuPKkg5w,Georges Take Away Foods,u1/7 Jones Ave Mount Warrigal NSW 2528 Australia,-34.553722799999996,150.845684,False,True,True,false
77,169_location.json,ChIJo0d4V9sTE2sR8G1kP2EfRto,Matthew Marcs Cafe,9/25 Captain Cook Dr Barrack Heights NSW 2528 Australia,-34.557653,150.8476776,True,True,True,false
77,169_location.json,ChIJC3eE9Z0TE2sRKvocH3TSXZU,Gozleme 4U & Burek Shop,17 Jones Ave Mount Warrigal NSW 2528 Australia,-34.5534412,150.84561779999999,false,True,True,false
80,171_location.json,ChIJg3r3rrgbE2sRcQtMFe855u0,Retro Roast Coffee Van,Cordeaux Rd Mount Kembla NSW 2526 Australia,-34.4322747,150.8297454,True,True,True,false
81,172_location.json,ChIJy5HtxYUaE2sRTr4ej7SGJzw,Ruby's Mount Kembla Restaurant,39 Harry Graham Dr Kembla Heights NSW 2526 Australia,-34.430160799999996,150.8073583,True,false,False,True
82,173_location.json,ChIJy5HtxYUaE2sRTr4ej7SGJzw,Ruby's Mount Kembla Restaurant,39 Harry Graham Dr Kembla Heights NSW 2526 Australia,-34.430160799999996,150.8073583,True,false,False,True
85,176_location.json,ChIJQcr_g6QQE2sRadjE9jbb2V0,Steam Heads,2 Tannery St Unanderra NSW 2526 Australia,-34.4552341,150.8444197,True,True,True,True
85,176_location.json,ChIJo6_LhaQQE2sRklcdnbP7elU,Country Grocer Unanderra,1/130 Princes Hwy Unanderra NSW 2526 Australia,-34.455470999999996,150.844008,false,false,false,false
85,176_location.json,ChIJ56n3h6QQE2sRF3pHQKKqL3s,Domino's Pizza Unanderra,Unit 1/114 - 118 Princes Hwy Unanderra NSW 2526 Australia,-34.455190699999996,150.84435009999999,False,True,True,false
85,176_location.json,ChIJ-Qw80M8RE2sRp7KluKg4U6g,The Hungry Greek,Shop 1B/120 Princes Hwy Unanderra NSW 2526 Australia,-34.4553054,150.8441045,True,True,True,True
85,176_location.json,ChIJua3RJ-sQE2sROqH-05YmkY0,Unanderra Charcoal Chickens & Take-Away,185 Princes Hwy Unanderra NSW 2526 Australia,-34.4576038,150.8425442,False,True,True,false
85,176_location.json,ChIJSYD3h74QE2sRS2cJ0v3E8vw,4M Espresso Bar,1/2 Waverley Dr Unanderra NSW 2526 Australia,-34.462306999999996,150.8405914,True,True,False,True
85,176_location.json,ChIJ6xwthqQQE2sR-JgJxK_diNc,Subway Unanderra,Shop 7/2 Tannery St Unanderra NSW 2526 Australia,-34.454965099999995,150.84412279999998,True,True,True,True
85,176_location.json,ChIJSV3_i6QQE2sR72X0PyMCTac,Coastal Thai (Location at Unanderra),127 Princes Hwy Unanderra NSW 2526 Australia,-34.4554006,150.84464079999998,false,True,True,True
85,176_location.json,ChIJd1GhVs8RE2sRCchSMRA18T8,Unanderra Fish & Chips,2 Tallegalla St Unanderra NSW 2526 Australia,-34.454219,150.8430692,false,True,True,false
85,176_location.json,ChIJAweEFbsQE2sR8oAVG4lnirc,Cafe Fourteen,14 Investigator Dr Unanderra NSW 2526 Australia,-34.459323999999995,150.84537559999998,True,True,True,True
85,176_location.json,ChIJ28aTr70QE2sRdY1pukM-Lcw,Eddy & Sandra's,163 Princes Hwy Unanderra NSW 2526 Australia,-34.4560837,150.8440454,True,True,True,True
85,176_location.json,ChIJ6V3zZaQQE2sRRPn1zsn7mb0,Cosy Cafe Delight,102-108 Princes Hwy Unanderra NSW 2526 Australia,-34.4545883,150.8446107,True,True,True,True
85,176_location.json,ChIJMSIrn6QQE2sR4bXii7YhiCc,Sun Lee Chinese Take Away Food,157 Princes Hwy Unanderra NSW 2526 Australia,-34.4558841,150.8440796,False,True,True,false
85,176_location.json,ChIJ28aTr70QE2sRCwoRXsXex3o,Jacky's modern asian,17B Farmborough Rd Unanderra NSW 2526 Australia,-34.4594569,150.83987900000002,True,True,True,True
85,176_location.json,ChIJ7d4kxXERE2sRIADcbCkQW6Q,Coastal thai (Location at Unanderra),127 Princes Hwy Unanderra NSW 2526 Australia,-34.455407699999995,150.8446496,false,True,True,True
85,176_location.json,ChIJq6o2i74QE2sRcqmJLfRit1k,Custom Coffee Brands,Rear Building 260 Nolan St Unanderra NSW 2526 Australia,-34.462934499999996,150.8408339,True,True,false,false
85,176_location.json,ChIJ9epPFLsQE2sRmcCZNqsRjJQ,14 Catering,14 Investigator Dr Unanderra NSW 2526 Australia,-34.459323999999995,150.84537559999998,false,false,false,false
88,179_location.json,ChIJbcjf5r8TE2sRXT5Aj_M0TIs,il lago pizzeria,Shop 2/19/21 MacKenzie Ave Mount Warrigal NSW 2528 Australia,-34.547969,150.83718819999999,True,True,True,True
88,179_location.json,ChIJkdtN5r8TE2sRkBYAjccwwpY,Amrak Cafe,1/25 MacKenzie Ave Mount Warrigal NSW 2528 Australia,-34.547985,150.837079,True,True,True,True
88,179_location.json,ChIJeeNCv7YTE2sR2J6x5lc9Rio,TBW Take Away,Shop/No/1/17 MacKenzie Ave Mount Warrigal NSW 2528 Australia,-34.548022599999996,150.8373816,false,True,True,false
88,179_location.json,ChIJR3cq4b8TE2sRRDtsEwKPmm0,Mt Warrigal Take Away,17 MacKenzie Ave Mount Warrigal NSW 2528 Australia,-34.5479939,150.83739079999998,false,True,false,false
90,180_location.json,ChIJl42yi7MTE2sRNE01xl8AREk,KFC Shellharbour,Outside Shellharbour Square 1 Holm Pl Shellharbour City Centre NSW 2529 Australia,-34.5638193,150.83702100000002,False,True,True,True
90,180_location.json,ChIJ2TWCFKcTE2sRSzHLdC0ede0,Lakeview Hotel Motel,4 Government Rd Oak Flats NSW 2529 Australia,-34.562229099999996,150.8305358,false,false,True,false
90,180_location.json,ChIJqWgBZKcTE2sRIJb_n-bT2-E,Hungry Jack's Burgers Shellharbour,1 Range Rd Shellharbour City Centre NSW 2529 Australia,-34.5642728,150.8305488,True,True,True,True
90,180_location.json,ChIJ0X_yTKATE2sRl5qDYLLFCH0,Central Hotel Shellharbour,3 Memorial Dr Shellharbour City Centre NSW 2529 Australia,-34.5644444,150.8355556,True,True,True,True
90,180_location.json,ChIJi2IMQ6ATE2sRN-GFbiRAZfY,Rehal's Divine Indian Restaurant,17A/75 Cygnet Ave Shellharbour City Centre NSW 2529 Australia,-34.565427199999995,150.8355796,false,True,True,True
90,180_location.json,ChIJ-6c3BJ8TE2sR7X4TeDVa7yY,Guzman y Gomez - Shellharbour,Stockland Shellharbour Shopping Centre Tenancy 2018/211 Lake Entrance Rd Shellharbour NSW 2528 Australia,-34.5643628,150.83754969999998,True,True,True,True
90,180_location.json,ChIJVxv76e1Fc2sRw90x_AuW48U,Pizza Hut Shellharbour,15 College Ave Shellharbour City Centre NSW 2529 Australia,-34.567078099999996,150.8365742,False,True,True,false
90,180_location.json,ChIJ5-SLtqETE2sRomDyqbMTKHI,Domino's Pizza Shellharbour,Shop 5 Shellharbour City Centre Lot Memorial Dr Shellharbour NSW 2529 Australia,-34.5639503,150.8364504,False,True,True,false
90,180_location.json,ChIJ0SVAHJ8TE2sRbnVa9cLSgLk,McDonald's Stocklands Shellharbour Food Court,211 Lake Entrance Rd Shellharbour NSW 2529 Australia,-34.5646032,150.84033589999999,True,True,True,True
